Comment,Designator,Footprint,LCSC
1k,"R3,R6,R7",R_0402_1005Metric,C11702
PRTR5V0U2X,U2,SOT143B,C12333
.1u,"C10,C11,C12,C13,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
10u,C2,C_0402_1005Metric,C15525
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
RP2040,U3,RP2040-QFN-56,C2040
27,"R4,R5",R_0402_1005Metric,C25100
5k1,"R1,R2",R_0402_1005Metric,C25905
Boot,"SW5,SW6",SW_SPST_TL3342,C318884
Resonator_Small,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C341520
1u,"C1,C_LDO1,C_LDO2",C_0402_1005Metric,C52923
XC6206PxxxMR,U1,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D5,D6,D7,D8,D9",D_SOD-123,C64898
SN74AHCT1G125,U5,SOT-23-5,C7468
500mA,F1,Fuse_0805_2012Metric,C883103
WS2812B-2020,"D49,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D60,D61",LED_WS2812_2020,C965555
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
MX-NoLED,MX44,MXOnly-1U-NoLED,
MX-NoLED,MX19,MXOnly-1U-NoLED,
